District,Code,Incumbent Party,Incumbent Name,,Pronunciation Guide,,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ+ Status,Pre-2022 Incumbent,2020 President,,2016 President,,2022 House,,,,2023-2032 House Specials,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race (2018-2022 ACS),,,,,,Median Household Income by Race (2018-2022 ACS),,,,Educational Attainment by Race for Adults Ages 25+ (2018-2022 ACS) ,,,,,,Sort by Full District Name,2020 President,,,2016 President,,,2022 House,,,,,,2023-2032 House Special Elections,,,,,,Total Population (2020 Census),,,,,,,Voting Age Population (2020 Census),,,,,,,Citizen Voting Age Population (2018-2022 ACS),,,,,,,Educational Attainment for Adults 25+ (2018-2022 ACS),,,
,,,First,Last,Phonetic,International Phonetic Alphabet,,,,,,,,Joe Biden,Donald Trump,Hillary Clinton,Donald Trump,Dem,Rep,Indie or Other Dem,Indie or Other Rep,Date,Dem,Rep,Indie or Other Dem,Indie or Other Rep,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Median Household Income,Income Rank,White Only Income,White Only Income Rank,Bachelor's Degree or Higher,BA Rank,White Only Bachelor's Degree,White Only BA Rank,Non-College White Adult Citizens,Non-College White Rank,,Total,Joe Biden,Donald Trump,Total,Hillary Clinton,Donald Trump,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,True Indie or 3rd Party,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,Independent or 3rd Party,Total Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Population Ages 25+,Bachelor's Degree or Higher,Total White Population Ages 25+,White Bachelor's Degree
Tennessee's 6th,TN-06,Republican,John,Rose,(JAHN ROHZ),/ʒdɑn ɹoʊz/,2018,1965,Man,White,Christian - Protestant,No,Re-elected,34.5,63.6,31.9,63.7,33.7,66.3,0,0,,,,,,80.1,6.4,9.4,1.6,2.5,0.1,85.0,2.8,9.9,1.2,1.0,0.0,"$64,687",308,"$67,504",352,27.1 ,305 ,27.4 ,359 ,61.7,55 ,357,"348,370","120,181","221,681","277,491","88,476","176,831","195,063","65,675","129,388",0,0,0,,,,,,,"767,871","596,648","59,323","79,753","12,965","19,716","1,078","603,423","483,180","38,463","56,693","9,376","15,119",757,"587,270","499,205","16,365","57,865","6,800","5,810",265,"543,434","147,366","448,163","122,857"
Tennessee's 7th,TN-07,Republican,Mark,Green,(MAHRK GREEN),/mɑɹk gɹin/,2018,1964,Man,White,Christian - Protestant,No,Re-elected,41.3,56.4,38.8,56.0,38.1,60.0,0,0,,,,,,71.9,6.2,16.7,2.8,2.3,0.3,75.3,4.2,17.2,2.0,1.1,0.1,"$70,095",245,"$74,954",264,32.3 ,214 ,33.9 ,265 ,49.8,146 ,358,"328,513","135,634","185,342","256,220","99,324","143,476","180,822","68,973","108,421",0,0,"3,428",,,,,,,"767,871","533,197","57,129","138,302","22,558","18,400","2,659","597,796","429,888","37,116","99,724","16,900","13,766","1,620","577,640","434,950","24,155","99,545","11,435","6,150",415,"517,374","166,916","384,927","130,574"
Tennessee's 8th,TN-08,Republican,David,Kustoff,(DEY-vid KUHS-tawf),/'deɪ.vɪd 'kʌs.tɔf/,2016,1966,Man,White,Jewish,No,Re-elected,30.6,67.9,28.8,67.8,24.3,74.0,0,0,,,,,,74.9,2.9,17.7,2.3,1.9,0.1,77.7,1.8,18.0,1.4,0.9,0.0,"$63,678",323,"$70,453",315,28.6 ,277 ,30.3 ,316 ,54.2,107 ,359,"359,751","110,189","244,389","312,451","90,042","211,856","210,315","51,102","155,602",0,0,"3,611",,,,,,,"767,871","559,410","27,839","144,190","20,521","14,704",936,"596,851","446,797","17,523","105,903","13,994","11,243",679,"581,090","451,750","10,705","104,800","8,270","4,990",195,"528,834","151,142","406,944","123,470"
Tennessee's 9th,TN-09,Democratic,Steve,Cohen,(STEEV KOH-uhn),/stiv 'koʊ.ən/,2006,1949,Man,White,Jewish,No,Re-elected,73.3,25.1,71.8,25.0,70.0,26.2,0,0,,,,,,28.5,7.7,60.3,2.6,1.5,0.1,30.2,2.7,65.0,1.5,0.5,0.0,"$53,183",416,"$70,326",317,26.8 ,313 ,39.6 ,186 ,18.2,375 ,360,"286,406","209,865","71,971","256,974","184,598","64,324","133,918","93,800","35,123",0,0,"4,995",,,,,,,"767,871","194,429","70,564","477,879","19,070","11,763",906,"583,387","166,369","44,938","351,708","15,019","8,961",637,"548,915","165,600","15,015","356,950","8,345","2,785",75,"500,889","134,136","147,802","58,460"
Texas' 1st,TX-01,Republican,Nathaniel,Moran,(nuh-THAN-yuhl mawr-AN),/nə.'θæn.jəl mɔ.'ɹæn/,2022,1974,Man,White,Christian - Protestant - Baptist,No,Open Seat - Ran for attorney general and lost in primary (Louie Gohmert),26.5,72.4,24.6,72.4,21.9,78.1,0,0,,,,,,63.6,14.1,18.3,1.5,2.8,0.1,68.4,10.1,19.2,1.0,1.2,0.1,"$60,999",357,"$66,915",365,21.9 ,396 ,26.0 ,381 ,50.6,138 ,361,"325,932","86,340","235,935","284,986","70,209","206,319","234,662","51,438","183,224",0,0,0,,,,,,,"766,987","460,088","130,082","147,139","12,068","22,129","1,147","585,265","371,950","82,669","107,096","8,526","16,548",787,"550,740","376,495","55,375","105,875","5,700","6,715",405,"512,679","112,033","339,689","88,177"
Texas' 2nd,TX-02,Republican,Dan,Crenshaw,(DAN KREN-shaw),/dæn 'kɹɛn.ʃɔ/,2018,1984,Man,White,Christian - Protestant - Methodist,No,Re-elected,37.9,60.7,31.6,63.3,34.1,65.9,0,0,,,,,,53.1,27.1,12.3,5.5,2.8,0.3,60.7,21.6,13.0,3.6,0.8,0.1,"$92,141",84,"$105,866",66,39.3 ,124 ,43.3 ,146 ,34.4,280 ,362,"321,027","121,722","194,830","251,227","79,505","159,143","230,287","78,496","151,791",0,0,0,,,,,,,"766,987","378,509","232,511","100,382","43,253","22,317","2,432","557,917","296,409","151,304","68,462","30,513","15,876","1,645","486,340","295,430","105,090","63,035","17,695","4,040",670,"486,138","190,854","272,703","118,062"
Texas' 3rd,TX-03,Republican,Keith,Self,(KEETH SELF),/kiθ sɛlf/,2022,1953,Man,White,Christian - Protestant,No,Open Seat - Retired (Van Taylor),42.0,56.4,34.0,60.0,36.9,60.5,0,0,,,,,,59.4,14.3,10.2,13.7,2.7,0.2,66.5,11.8,10.9,9.5,1.0,0.1,"$114,577",30,"$114,990",46,48.5 ,50 ,49.0 ,92 ,33.9,281 ,363,"362,332","152,283","204,522","271,327","92,154","162,667","271,256","100,121","164,240",0,0,"6,895",,,,,,,"766,987","429,281","124,107","84,898","111,888","21,934","1,848","559,329","332,029","80,057","56,991","76,459","15,296","1,182","521,740","347,055","61,815","56,845","49,340","5,010",390,"507,801","246,272","314,873","154,344"
Texas' 4th,TX-04,Republican,Pat,Fallon,(PAT FAL-uhn),/pæt 'fæ.lən/,2020,1967,Man,White,Christian - Roman Catholic,No,Re-elected,36.4,62.4,30.5,64.8,30.9,66.7,0,0,,,,,,63.0,12.4,9.7,11.8,3.2,0.2,70.9,10.2,9.9,7.2,1.4,0.1,"$92,686",82,"$91,997",141,43.0 ,89 ,40.3 ,179 ,42.4,211 ,364,"344,380","125,331","214,733","265,256","80,818","171,923","256,009","79,179","170,781",0,0,"6,049",,,,,,,"766,987","456,408","109,555","80,358","98,443","26,046","1,523","577,526","363,615","71,788","56,043","68,304","18,424","1,013","522,975","371,045","53,395","51,890","37,710","7,520",320,"522,244","224,797","339,041","136,552"
Texas' 5th,TX-05,Republican,Lance,Gooden,(LANS GOOD-uhn),/læns 'gʊ.ɾən/,2018,1982,Man,White,Christian - Protestant - Restorationist,No,Re-elected,38.2,60.6,33.9,62.8,33.9,64.0,0,0,,,,,,52.4,25.8,14.2,5.3,3.3,0.1,59.5,19.2,15.7,4.3,1.2,0.0,"$74,111",203,"$75,418",260,22.6 ,385 ,24.8 ,395 ,44.7,185 ,365,"298,176","113,821","180,707","241,989","81,979","151,941","211,965","71,930","135,595",0,0,"4,440",,,,,,,"766,987","367,502","226,402","118,843","40,568","25,137","1,258","573,597","300,372","148,251","81,400","30,519","18,654",856,"510,835","303,735","98,090","80,325","21,725","6,205",210,"506,649","114,566","279,853","69,534"
Texas' 6th,TX-06,Republican,Jake,Ellzey,(JEYK EL-zee),/dʒeɪk 'ɛl.zi/,2021 Special,1970,Man,White,Christian - Protestant,No,Re-elected,37.4,61.3,32.5,63.7,0,100,0,0,,,,,,48.8,30.2,14.6,4.3,3.2,0.3,57.3,22.4,15.7,3.1,1.2,0.1,"$75,003",197,"$79,703",223,24.2 ,352 ,28.5 ,340 ,41.0,224 ,366,"281,938","105,417","172,963","225,564","73,237","143,595","149,321",0,"149,321",0,0,0,,,,,,,"766,987","344,553","259,476","117,497","32,487","24,714","2,291","572,594","279,352","173,016","83,603","24,448","18,081","1,468","487,820","279,715","109,480","76,755","15,265","5,640",565,"493,405","119,468","254,118","72,360"
Texas' 7th,TX-07,Democratic,Lizzie,Fletcher,(LIZ-ee FLET-cher),/'lɪ.zi 'flɛ.tʃəɹ/,2018,1975,Woman,White,Christian - Protestant - Methodist,No,Re-elected,64.2,34.5,62.5,32.6,63.8,36.2,0,0,,,,,,30.2,28.3,19.6,21.4,2.0,0.2,37.0,21.9,21.9,18.4,0.7,0.0,"$70,704",239,"$100,887",83,49.1 ,44 ,69.3 ,15 ,11.4,412 ,367,"279,261","179,327","96,257","214,210","133,905","69,728","181,829","115,994","65,835",0,0,0,,,,,,,"766,987","210,438","230,614","160,142","164,911","15,986","1,592","594,919","179,683","168,560","116,791","127,236","11,783","1,066","457,450","169,125","100,260","100,030","83,995","3,165",70,"525,309","257,804","161,866","112,149"
Texas' 8th,TX-08,Republican,Morgan,Luttrell,(MAWR-guhn luh-CHREL),/'mɔɹ.gən lə.'tʃɹɛl/,2022,1975,Man,White,Christian - Protestant,No,Open Seat - Retired (Kevin Brady),35.8,63.0,32.1,64.0,30.5,68.1,0,0,,,,,,48.8,29.7,13.1,6.6,3.1,0.2,56.6,23.3,13.8,5.2,1.0,0.1,"$83,466",137,"$90,621",153,31.5 ,228 ,34.7 ,256 ,36.9,262 ,368,"312,347","111,737","196,658","227,290","72,905","145,384","224,968","68,715","153,127",0,0,"3,126",,,,,,,"766,987","345,586","249,527","109,718","51,665","23,942","1,625","565,897","276,028","167,949","74,409","37,361","17,324","1,019","498,600","282,140","116,155","68,670","25,770","4,800",445,"497,288","156,541","258,349","89,687"
Texas' 9th,TX-09,Democratic,Al,Green,(AL GREEN),/æl gɹin/,2004,1947,Man,Black,Christian - Protestant - Baptist,No,Re-elected,76.2,22.7,77.0,19.7,76.7,23.3,0,0,,,,,,13.9,36.4,38.6,11.2,2.2,0.2,18.1,25.9,46.2,9.1,0.6,0.0,"$63,597",324,"$96,286",111,31.0 ,239 ,55.0 ,50 ,8.1,427 ,369,"256,506","195,428","58,355","208,073","160,230","41,067","163,607","125,446","38,161",0,0,0,,,,,,,"766,987","95,246","301,525","293,568","81,086","17,656","1,278","565,956","78,651","206,142","218,536","63,617","12,541",895,"441,020","79,730","114,080","203,890","40,205","2,450",175,"486,421","150,971","75,849","41,697"
Texas' 10th,TX-10,Republican,Michael,McCaul,(MAHY-kuhl muh-KAWL),/'maɪ.kəl mə.'kɔl/,2004,1962,Man,White,Christian - Roman Catholic,No,Re-elected,39.8,58.6,34.0,60.2,34.3,63.3,0,0,,,,,,59.5,22.0,10.4,6.2,2.4,0.2,65.8,18.0,11.3,3.8,1.0,0.1,"$80,035",163,"$89,462",163,39.6 ,119 ,46.0 ,123 ,35.5,271 ,370,"339,628","135,094","198,897","263,788","89,622","158,886","251,937","86,404","159,469",0,0,"6,064",,,,,,,"766,987","429,742","191,251","83,934","49,513","19,569","1,480","591,007","351,567","129,974","61,608","36,361","14,435","1,000","544,585","358,130","97,920","61,555","20,870","5,190",415,"484,170","191,568","300,629","138,160"
Texas' 11th,TX-11,Republican,August,Pfluger,(AW-guhst FLOO-ger),/'ɔ.gəst 'flu.gəɹ/,2020,1978,Man,White,Christian - Protestant,No,Re-elected,29.1,69.5,26.9,69.1,0,100,0,0,,,,,,47.7,35.2,12.4,2.9,2.9,0.7,50.5,34.3,11.9,1.9,1.0,0.2,"$62,147",340,"$69,092",333,23.4 ,372 ,29.8 ,322 ,35.4,273 ,371,"267,919","77,977","186,084","219,458","58,948","151,570","151,066",0,"151,066",0,0,0,,,,,,,"766,987","334,920","295,916","104,802","23,349","22,244","6,034","567,819","270,981","200,105","70,145","16,464","16,297","3,748","515,655","260,270","177,020","61,395","9,555","5,175","1,155","481,807","112,818","234,670","70,043"
Texas' 12th,TX-12,Republican,Kay,Granger,(KEY GREYN-jer),/keɪ 'gɹeɪn.dʒəɹ/,1996,1943,Woman,White,Christian - Protestant - Methodist,No,Re-elected,40.1,58.3,34.6,60.2,35.7,64.3,0,0,,,,,,58.9,21.7,12.0,5.1,3.0,0.3,64.7,19.2,11.5,3.4,1.0,0.0,"$78,999",172,"$85,369",186,33.7 ,185 ,39.1 ,192 ,39.4,241 ,372,"324,606","130,235","189,089","248,658","86,025","149,773","237,979","85,026","152,953",0,0,0,,,,,,,"766,987","421,066","188,697","101,731","40,567","23,842","2,323","580,455","341,653","125,768","69,461","29,723","17,459","1,491","542,325","350,905","104,005","62,205","18,510","5,640",270,"511,020","172,002","316,182","123,538"
Texas' 13th,TX-13,Republican,Ronny,Jackson,(RAH-nee JAK-suhn),/'ɹɑ.ni 'dʒæk.sən/,2020,1967,Man,White,Christian - Protestant - Restorationist,No,Re-elected,26.5,72.0,22.1,73.5,24.6,75.4,0,0,,,,,,62.0,24.6,7.5,3.0,3.5,0.2,67.9,21.1,7.3,1.9,1.5,0.1,"$64,369",315,"$68,957",336,24.9 ,341 ,29.1 ,330 ,48.2,157 ,373,"299,331","79,206","215,372","255,390","56,429","187,605","214,677","52,910","161,767",0,0,0,,,,,,,"766,987","445,745","215,932","62,951","24,575","27,274","1,615","585,231","363,053","144,154","44,023","17,643","20,339","1,049","539,285","366,330","113,995","39,490","10,510","7,850",465,"496,734","123,674","322,967","93,909"
Texas' 14th,TX-14,Republican,Randy,Weber,(RAN-dee WEB-er),/'ɹæn.di 'wɛ.bəɹ/,2012,1953,Man,White,Christian - Protestant - Baptist,No,Re-elected,35.0,63.6,33.9,62.4,29.8,70.2,0,0,,,,,,56.0,22.4,16.2,3.5,2.5,0.1,60.3,19.2,16.9,2.5,0.9,0.1,"$68,463",262,"$83,220",198,25.1 ,336 ,30.1 ,319 ,42.2,215 ,374,"314,088","110,036","199,675","264,490","89,714","164,915","213,149","63,606","149,543",0,0,0,,,,,,,"766,987","404,463","192,809","130,216","27,828","19,810","1,171","585,292","327,812","130,969","94,668","20,408","14,715",782,"546,430","329,580","105,050","92,365","13,690","4,720",450,"517,563","129,835","299,664","90,249"
Texas' 15th,TX-15,Republican,Monica,De La Cruz,(MAW-nee-kuh duh-lah-KROOZ) [R is trilled],/'mɔ.ni.kə də.lɑ.'kruz/,2022,1974,Woman,Hispanic - Mexican,Christian - Protestant - Episcopalian,No,Open Seat - Ran in TX-34 after redistricting and won (Vicente González),48.1,51.0,54.7,41.5,44.8,53.3,0,0,,,,,,17.5,78.9,1.6,1.5,1.8,0.1,21.1,75.4,1.7,1.3,0.5,0.0,"$55,382",398,"$72,665",289,21.8 ,397 ,30.8 ,309 ,14.6,392 ,375,"227,089","109,177","115,722","179,811","98,387","74,636","151,889","68,097","80,978",0,0,"2,814",,,,,,,"766,987","117,166","624,361","12,125","10,918","13,105",645,"551,585","96,801","434,980","8,655","8,062","9,840",402,"434,910","91,735","327,775","7,590","5,515","2,115",215,"459,508","100,361","83,953","25,853"
Texas' 16th,TX-16,Democratic,Veronica,Escobar,"(ver-AH-nee-kuh ES-ko-bahr) [Rs are trilled and uses Spanish phoneme for ""B""]",/vɛ.'rɑ.ni.kə 'ɛs.ko.βɑr/,2018,1969,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,67.0,31.5,68.0,26.1,63.5,36.5,0,0,,,,,,13.0,80.8,4.1,2.1,2.4,0.3,14.6,79.5,3.7,1.3,0.6,0.1,"$53,477",413,"$65,822",370,26.1 ,322 ,41.7 ,160 ,8.5,422 ,376,"244,212","163,505","76,976","197,822","134,603","51,691","150,496","95,510","54,986",0,0,0,,,,,,,"766,986","89,996","629,842","34,595","16,718","18,274","2,791","573,880","74,487","463,686","23,499","12,123","13,935","1,750","492,575","71,970","391,400","18,210","6,330","2,785",610,"480,689","125,668","63,479","26,498"
Texas' 17th,TX-17,Republican,Pete,Sessions,(PEET SEH-shuhnz),/pit 'sɛ.ʃənz/,2020,1955,Man,White,Christian - Protestant - Methodist,No,Re-elected,38.0,60.5,33.6,61.9,33.5,66.5,0,0,,,,,,56.6,22.3,16.0,3.1,2.6,0.2,62.0,18.6,16.0,1.9,1.3,0.0,"$63,266",328,"$68,233",343,25.4 ,332 ,30.7 ,311 ,43.0,203 ,377,"302,045","114,751","182,847","242,779","81,546","150,175","217,209","72,801","144,408",0,0,0,,,,,,,"766,987","406,452","193,683","130,592","25,354","20,403","1,548","589,524","333,951","131,353","94,305","18,552","15,441","1,105","552,105","342,460","102,895","88,345","10,560","6,935",235,"496,820","126,363","292,958","89,980"
Texas' 18th,TX-18,Democratic,Erica Lee,Carter,,,2024 Special,1980,Woman,Black,,No,Re-elected,73.6,25.1,73.8,22.2,70.7,26.2,0,0,5-Nov-24,67.8,22.3,,,19.4,39.8,34.4,6.2,2.6,0.3,23.7,30.5,39.7,5.3,0.7,0.1,"$58,932",373,"$93,782",128,26.8 ,314 ,53.8 ,60 ,10.9,415 ,378,"240,982","177,368","60,370","195,029","143,924","43,218","156,268","110,511","40,941",0,0,"4,816","213,357","144,660","47,554",,"21,143",,"766,987","127,965","332,547","264,490","43,332","20,858","2,024","576,291","111,891","229,406","198,049","35,620","15,112","1,480","464,650","109,890","141,605","184,465","24,445","3,050",235,"491,701","131,545","101,689","54,751"
Texas' 19th,TX-19,Republican,Jodey,Arrington,(JOH-dee AIR-ing-tuhn),/'dʒoʊ.ɾi 'ɛ.ɹɪŋg.tən/,2016,1972,Man,White,Christian - Protestant - Presbyterian,No,Re-elected,26.2,72.4,23.4,71.9,0,80.3,0,0,,,,,,53.7,34.7,7.4,2.4,2.7,0.2,57.1,33.8,6.5,1.3,1.1,0.0,"$58,951",372,"$66,944",364,24.5 ,347 ,33.2 ,275 ,38.2,253 ,379,"279,621","73,174","202,461","237,055","55,570","170,483","189,681",0,"152,321",0,0,"37,360",,,,,,,"766,987","384,927","293,914","61,084","18,348","20,658","1,585","578,679","310,685","201,052","42,663","13,951","15,494",988,"539,300","308,165","182,400","35,190","6,890","5,795",200,"472,210","115,735","258,076","85,601"
Texas' 20th,TX-20,Democratic,Joaquin,Castro,"(wah-KEEN KAHS-tro) [R is trilled, O unrounded]",/wɑ.'kin 'kɑs.tro/,2012,1974,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,65.8,32.7,63.0,31.1,68.4,31.6,0,0,,,,,,19.7,68.2,7.2,4.7,3.0,0.3,20.8,69.3,6.6,2.5,0.5,0.1,"$56,708",391,"$68,441",339,24.6 ,346 ,39.0 ,196 ,12.7,401 ,380,"262,144","172,367","85,595","203,972","128,504","63,410","168,599","115,352","53,226",0,0,21,,,,,,,"766,987","135,128","540,441","59,388","36,952","22,494","2,921","574,548","113,466","392,056","41,320","26,992","17,195","1,907","525,780","109,245","364,600","34,465","13,095","2,695",385,"495,301","121,855","96,431","37,578"
Texas' 21st,TX-21,Republican,Chip,Roy,(CHIP ROY),/tʃɪp ɹɔɪ/,2018,1972,Man,White,Christian - Protestant - Baptist,No,Re-elected,39.4,59.1,33.3,61.1,37.2,62.8,0,0,,,,,,62.1,27.9,4.4,3.6,2.8,0.3,65.1,27.5,3.9,2.3,0.9,0.1,"$88,786",103,"$98,058",97,44.8 ,76 ,50.4 ,78 ,32.3,288 ,381,"416,581","164,213","246,263","323,744","107,813","197,900","330,081","122,655","207,426",0,0,0,,,,,,,"766,987","451,460","235,714","37,947","30,083","22,114","2,558","604,056","375,418","168,362","26,729","21,467","16,711","1,785","567,400","369,285","155,925","22,210","12,990","5,025",650,"531,711","238,023","337,426","169,915"
Texas' 22nd,TX-22,Republican,Troy,Nehls,(CHROY NELZ),/tʃɹɔɪ nɛlz/,2020,1968,Man,White,Christian - Protestant,No,Re-elected,41.3,57.4,35.7,59.9,35.5,62.2,0,0,,,,,,45.2,26.3,12.2,14.9,2.0,0.1,49.4,25.6,12.3,11.9,0.7,0.0,"$100,510",55,"$110,239",53,44.7 ,77 ,48.8 ,94 ,25.3,337 ,382,"334,585","138,254","191,937","255,269","91,233","153,033","241,215","85,653","150,014",0,0,"5,548",,,,,,,"766,987","324,471","216,902","99,463","119,105","15,787","1,205","557,229","252,124","146,574","68,178","82,839","11,298",810,"496,940","245,330","127,075","60,950","59,095","3,390",235,"503,924","225,102","228,681","111,557"
Texas' 23rd,TX-23,Republican,Tony,Gonzales,(TOH-nee guhn-ZAH-luhs),/'toʊ.ni gən.'zɑ.ləs/,2020,1980,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,45.8,52.9,45.5,49.6,38.8,55.9,0,0,,,,,,31.3,60.0,4.6,3.3,2.4,0.3,33.4,58.5,4.6,2.3,0.8,0.1,"$71,327",233,"$87,631",176,29.7 ,259 ,45.3 ,126 ,18.3,373 ,383,"294,019","134,552","155,681","227,991","103,691","113,057","208,776","80,947","116,649",0,0,"11,180",,,,,,,"766,987","217,997","482,437","37,248","27,237","18,938","2,372","568,074","177,580","340,976","26,217","18,844","13,615","1,564","494,630","165,325","289,235","22,615","11,600","4,130",540,"473,041","140,483","148,788","67,352"
Texas' 24th,TX-24,Republican,Beth,Van Duyne,(BETH van-DAHYN),/bɛθ væn.'daɪn/,2020,1970,Woman,White,Christian - Protestant - Episcopalian,No,Re-elected,43.0,55.4,35.4,59.3,40.3,59.7,0,0,,,,,,64.9,15.5,7.7,9.3,2.6,0.4,71.1,12.9,7.9,6.8,1.0,0.2,"$106,888",39,"$115,449",43,52.8 ,29 ,56.8 ,45 ,30.7,297 ,384,"390,681","168,124","216,345","324,081","114,863","192,164","297,825","119,878","177,947",0,0,0,,,,,,,"766,987","472,474","133,852","66,043","77,111","20,767","3,925","581,738","377,683","90,349","44,772","54,234","15,259","2,583","519,735","369,710","66,835","40,840","35,140","4,965",940,"511,877","270,519","344,521","195,754"
Texas' 25th,TX-25,Republican,Roger,Williams,(RAH-jer WEE-yuhmz),/'ɹɑ.dʒəɹ 'wi.jəmz/,2012,1949,Man,White,Christian - Protestant - Disciples of Christ,No,Re-elected,33.8,64.9,29.5,66.3,0,100,0,0,,,,,,62.1,18.8,12.3,4.2,3.1,0.3,67.2,16.4,12.0,2.9,1.0,0.2,"$73,257",217,"$77,029",243,30.1 ,254 ,32.6 ,282 ,45.3,182 ,385,"332,712","112,309","215,979","276,094","81,351","183,106","185,270",0,"185,270",0,0,0,,,,,,,"766,987","447,757","166,945","103,284","32,281","24,157","2,684","586,313","364,328","110,135","72,332","24,566","17,935","1,700","552,530","371,280","90,580","66,515","16,020","5,685",905,"513,028","154,179","332,013","108,265"
Texas' 26th,TX-26,Republican,Michael,Burgess,(MAHY-kuhl BER-juhs),/'maɪ.kəl 'bɜɹ.dʒəs/,2002,1950,Man,White,Christian - Protestant - Episcopalian,No,Re-elected,40.0,58.6,32.1,62.7,0,69.3,0,0,,,,,,60.0,17.0,9.8,10.6,3.0,0.2,67.6,14.0,9.9,7.3,1.1,0.1,"$105,363",42,"$113,578",50,45.9 ,71 ,47.4 ,108 ,35.6,270 ,386,"361,989","144,823","211,963","258,207","82,905","161,960","265,023",0,"183,639",0,0,"81,384",,,,,,,"766,987","433,991","147,447","82,275","85,771","24,352","1,826","569,880","341,892","97,018","56,050","60,224","17,354","1,190","533,240","360,220","74,635","52,865","38,800","5,610",455,"526,035","241,612","330,272","156,407"
Texas' 27th,TX-27,Republican,Michael,Cloud,(MAHY-kuhl KLOUD),/'maɪ.kəl klaʊd/,2018 Special,1975,Man,White,Christian - Protestant,No,Re-elected,38.1,60.6,37.2,58.8,35.6,64.4,0,0,,,,,,41.4,49.9,5.1,2.2,2.4,0.2,42.7,50.1,4.9,1.3,0.8,0.1,"$61,819",345,"$72,453",292,19.9 ,420 ,28.4 ,342 ,30.5,300 ,387,"287,748","109,720","174,253","242,255","90,129","142,553","207,027","73,611","133,416",0,0,0,,,,,,,"766,987","290,582","410,805","41,818","17,623","18,357","1,509","585,427","242,429","292,191","29,835","12,872","14,032",999,"546,015","232,885","273,810","26,735","7,175","4,600",450,"510,072","101,410","213,648","60,762"
Texas' 28th,TX-28,Democratic,Henry,Cuellar,(HEN-ree KWEY-uhr) [Second R is trilled],/'hɛn.ɹi 'kweɪ.ər/,2004,1955,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,52.9,45.9,57.4,38.3,56.7,43.3,0,0,,,,,,19.3,72.9,5.7,1.6,2.2,0.2,23.1,69.7,5.4,1.2,0.5,0.0,"$60,356",363,"$88,929",167,19.9 ,419 ,31.8 ,298 ,15.8,386 ,388,"249,012","131,726","114,184","194,479","111,717","74,446","165,581","93,803","71,778",0,0,0,,,,,,,"766,987","132,163","577,559","43,961","12,278","16,247","1,882","552,637","106,857","402,711","31,283","8,615","12,040","1,248","468,845","108,470","326,615","25,355","5,455","2,505",220,"466,912","92,975","97,914","31,167"
Texas' 29th,TX-29,Democratic,Sylvia,Garcia,(SIL-vee-uh gahr-SEE-uh),/'sɪl.vi.ə gɑɹ.'si.ə/,2018,1950,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,67.8,31.0,73.0,23.4,71.4,28.6,0,0,,,,,,10.0,72.4,14.6,3.0,3.0,0.2,13.5,65.3,17.7,3.0,0.5,0.1,"$50,461",420,"$57,277",423,11.8 ,434 ,28.5 ,341 ,9.6,421 ,389,"174,765","118,450","54,253","144,132","105,270","33,702","100,602","71,837","28,765",0,0,0,,,,,,,"766,987","63,916","571,563","113,132","21,429","22,886","1,207","547,845","54,519","396,804","80,103","16,686","16,681",839,"392,725","52,940","256,525","69,370","11,850","1,880",320,"463,382","54,546","48,858","13,903"
Texas' 30th,TX-30,Democratic,Jasmine,Crockett,(JAZ-min KRAH-kit),/'dʒæz.mɪn 'kɹɑ.kɪt/,2022,1981,Woman,Black,Christian - Protestant - Baptist,No,Open Seat - Retired (Eddie Bernice Johnson),77.8,21.0,76.7,20.4,74.7,21.7,0,0,,,,,,21.4,32.0,41.9,4.1,2.6,0.2,25.0,23.6,47.2,3.4,0.8,0.0,"$67,465",277,"$93,006",132,28.9 ,275 ,51.3 ,75 ,12.2,406 ,390,"279,332","217,199","58,708","229,197","175,754","46,841","180,513","134,876","39,209",0,0,"6,428",,,,,,,"766,987","135,970","276,371","324,212","30,062","20,456","1,231","577,974","123,551","185,018","242,224","23,959","14,905",895,"496,115","123,850","116,885","233,935","16,840","4,005",180,"494,095","142,889","112,488","57,736"
